{52.52, 13.38}
{53.12,8.46}
{50.61, 6.3}
{48.94, 9.20}
{48.93, 11.86}
{52.32,7.16}
{53.17, 12.48}
{51.67, 9.65}
{51.62, 12.31}
{48.94,9.26}
{51.46, 6.26}
{51.80, 10.95}
{51.97,12.08}
{49.65, 8.46}
{49.39, 11.34}
{51.21, 6.21}
{51.30,12.23}
{51.65, 11.5}
{52.15, 8.49}
{51.79, 8.81}
{49.48,8.99}
{49.09, 8.38}
{48.24, 11.65}
{49.41, 7.16}
{52.11,8.95}
{48.42, 9.92}
{49.30, 6.93}
{48.79,9.32}
{53.05, 9.01}
{51.80, 7.75}
{47.88,11.69}
{49.08, 9.07}
{48.08, 8.63}
{49.83, 8.74}
{49.91,8.84}
{50.32, 8.5}
{50.92, 7.4}
{49.97, 9.77}
{49.57, 9.70}
{53.03, 13.99}
{51.79, 7.61}
{49.29, 9.69}
{50.93, 8.4}
{50.14, 9.12}
{49.13, 12.12}
{49.15, 8.73}
{48.41, 13.31}
{53.51, 10.48}
{51.78,12.95}
{48.22, 11.68}
{50.08, 8.94}
{51.81, 10.33}
{51.67,9.37}
{53.26, 8.11}
{50.75, 8.08}
{48.37,10.85}
{49.31, 8.64}
{50.25, 9.15}
{52.97, 9.21}
{49.49, 8.66}
{52.32,9.59}
{51.14, 9.27}
{51.04, 9.4}
{48.29, 8.56}
{48.77, 8.34}
{48.42,9.5}
{50.17, 8.32}
{50.57, 9.71}
{51.94, 13.88}
{47.7, 10.03}
{53.19,8.74}
{51.66, 10.33}
{50.97, 9.8}
{50.16,8.53}
{47.91, 9.9}
{48.9, 9.08}
{52.99, 13.34}
{51.38,12.48}
{52.24, 8.16}
{52.42, 8.43}
{49.41, 8.63}
{54.42,13.43}
{53.74, 10.26}
{48.04, 7.58}
{52.01, 8.04}
{50.31,8.26}
{49.41, 8.53}
{50.64, 9.39}
{47.57, 10.21}
{51.2,8.53}
{48.72, 9.42}
{51.78, 7.03}
{48.89, 8.34}
{49.32, 7.15}
{49.35,8.65}
{50.88, 6.46}
{48.99, 9.57}
{49.32, 7.05}
{50.01, 8.46}
{52.05, 10.}
{50.91, 6.270}
{49.93,8.86}
{52.21, 7.97}
{52.4, 12.16}
{48.5, 10.12}
{50.6,8.95}
{52.28, 9.57}
{48.05, 10.49}
{49.38,8.79}
{53.85, 13.69}
{47.58, 10.70}
{50.82,6.350}
{51.74, 6.29}
{49.58, 11.21}
{49.45,8.62}
{52.26, 7.37}
{50.65, 13.16}
{51.01, 9.73}
{48.01,10.6}
{49.76, 11.54}
{50.79, 8.01}
{53.54, 8.65}
{49.83,8.70}
{51.28, 9.54}
{53.58333, 7.9}
{49.42,11.02}
{51.9, 12.24}
{52.30, 8.13}
{48.65, 11.78}
{52.27,9.76}
{49.14, 9.4}
{50.61, 8.46}
{49.88, 8.83}
{48.72, 9.58}
{51.14,9.55}
{53.69, 10.78}
{51.05, 13.53}
{50.54,6.48}
{51.09, 7.53}
{50.29, 9.36}
{51.39, 10.32}
{48.89,11.20}
{50.99, 6.26}
{51.65, 6.770}
{49.36,6.8}
{53.65, 9.81}
{48.09, 11.67}
{52.95, 8.27}
{53.05,8.38}
{50.77, 9.6}
{50.07, 8.53}
{51.59, 9.93}
{51.86, 9.1}
{51.69,6.86}
{47.56, 7.66}
{52.28, 8.67}
{50.30,11.04}
{50.49, 8.27}
{53.9, 9.13}
{49.66,8.98}
{50.92, 8.52}
{52.29, 7.91}
{48.14, 8.32}
{53.92,9.87}
{48.82, 9.41}
{50.05, 10.5}
{51.67,8.74}
{52.38, 13.22}
{53.68, 10.47}
{52.87,9.70}
{50.53, 8.82}
{48.07, 7.88}
{52.82, 9.96}
{49.7,10.79}
{48.28, 12.15}
{51.06, 9.28}
{51.75,11.04}
{51.84, 7.83}
{50.76, 12.63}
{52.51,13.78}
{50.7, 11.6}
{50.14, 8.39}
{50., 9.19}
{50.34,8.53}
{48.34, 9.87}
{52.37, 8.31}
{49.38,11.21}
{52.30, 8.5}
{47.7, 9.56}
{53.29, 9.71}
{49.63,9.65}
{50.62, 8.74}
{53.15, 12.17}
{49.57, 8.16}
{53.35,9.88}
{48.19, 10.76}
{53.4, 7.55}
{52.74, 7.75}
{48.30,10.17}
{53.42, 7.73}
{49.19, 11.18}
{47.93,9.25}
{48.63, 10.17}
{51.34, 9.18}
{49.91, 8.51}
{48.96,10.91}
{51.74, 8.24}
{49.49, 7.060}
{52., 13.06}
{52.2,10.3}
{48.28, 10.08}
{53.42, 7.07}
{48.29, 11.59}
{51.2, 9.71}
{50.19,9.03}
{52.17, 9.78}
{53.08, 11.86}
{49.92, 8.39}
{51.77, 6.18}
{51.9,6.98}
{53.30, 9.28}
{47.63, 7.91}
{48.92, 9.14}
{53.7,9.71}
{51.94, 10.33}
{49.98, 6.520}
{49.22,8.71}
{51.59, 6.51}
{50.56, 6.24}
{49.05, 12.1}
{48.81, 11.77}
{51.44, 6.4}
{53.17, 9.47}
{54.17, 10.42}
{53.14, 7.66}
{48.29, 9.11}
{48.12, 11.44}
{52.69, 8.79}
{49.16, 8.63}
{52.68, 9.91}
{49.37, 8.52}
{49.15, 7.04}
{48.03, 8.52}
{51.49, 7.99}
{48.68, 12.69}
{51.28, 9.62}
{53.33, 11.48}
{52.68, 7.95}
{48.27, 10.99}
{50.47, 8.89}
{52.25, 10.64}
{51.62, 7.96}
{48.23, 12.68}
{52.79, 14.03}
{49.65, 8.56}
{51.14, 14.18}
{48.41, 12.76}
{52.95, 8.01}
{52.14, 10.95}
{51.09, 8.09}
{48.22,11.26}
{52.67, 7.47}
{50.42, 12.16}
{47.72, 9.4}
{52.39, 10.26}
{52.65,8.11}
{51.38, 11.6}
{51.04, 6.68}
{50.17, 9.}
{52.09, 9.09}
{53.91, 13.04}
{48.373056, 7.883333}
{53.41, 7.37}
{48.17, 11.81}
{48.99, 12.20}
{51.66, 8.14}
{48.79, 12.86}
{48.5, 9.4}
{48.25, 10.36}
{48.82, 11.85}
{52.53, 13.75}
{50.66, 8.58}
{48.05, 11.96}
{49.24, 8.45}
{50.44, 7.83}
{50.75, 12.57}
{47.81, 11.07}
{49., 9.77}
{48.37, 8.63}
{52.80, 8.64}
{49.49, 6.600}
{48.87, 10.35}
{51.52, 8.70}
{49.27, 8.6}
{53.17, 7.74}
{49.46, 8.35}
{49.59, 10.62}
{50.77, 8.56}
{49.52, 11.43}
{48.08, 8.73}
{53.57, 10.17}
{50.91, 12.36}
{50.72, 12.77}
{53.45, 9.5}
{48.03, 11.59}
{50.27, 9.3}
{49.99, 8.35}
{54.05, 13.76}
{52.38, 13.52}
{51.5, 7.86}
{47.82, 10.89}
{48.92, 8.48}
{49.21, 12.04}
{48.06, 12.20}
{48.7, 9.42}
{51.29, 7.78}
{51.71, 7.4}
{50.46, 8.4}
{48.65,13.62}
{51.02, 7.770}
{49.6, 8.64}
{52.32,7.78}
{50.74, 12.71}
{52.23, 12.97}
{49.17, 10.33}
{48.64,9.01}
{50.43, 10.73}
{50.07, 9.16}
{53.7, 9.38}
{49.22, 8.65}
{49.18,9.44}
{53.44, 11.19}
{50.52, 8.64}
{52.26, 10.22}
{48.92, 9.11}
{49.87, 8.74}
{48.92, 8.78}
{48.94, 8.27}
{52.22, 9.96}
{48.98, 13.12}
{50.49, 8.67}
{51.34, 7.86}
{52.73, 10.73}
{51.54, 6.42}
{48.26, 7.82}
{50.65, 10.68}
{48.18, 11.76}
{53.1, 9.15}
{49.51, 10.42}
{48.05, 10.72}
{47.69, 11.20}
{52.48, 13.70}
